name,yearID,G,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,ER,ERA,CG,E
Montreal Expos,1992,162,87,75,648,5477,1381,263,37,102,463,976.0,196.0,530,3.25,11,124
New York Yankees,1992,162,76,86,733,5593,1462,281,18,163,536,903.0,78.0,679,4.21,20,112
New York Mets,1992,162,72,90,599,5340,1254,259,17,93,572,956.0,129.0,588,3.66,17,116
Oakland Athletics,1992,162,96,66,745,5387,1389,219,24,142,707,831.0,143.0,600,3.73,8,125
Philadelphia Phillies,1992,162,70,92,686,5500,1392,255,36,118,509,1059.0,127.0,652,4.11,27,131
Pittsburgh Pirates,1992,162,96,66,693,5527,1409,272,54,106,569,872.0,110.0,551,3.35,20,101
San Diego Padres,1992,162,82,80,617,5476,1396,255,30,135,453,864.0,69.0,578,3.56,9,115
Seattle Mariners,1992,162,64,98,679,5564,1466,278,24,149,474,841.0,100.0,731,4.55,21,112
San Francisco Giants,1992,162,72,90,574,5456,1330,220,36,105,435,1067.0,112.0,586,3.61,9,111
St. Louis Cardinals,1992,162,83,79,631,5594,1464,262,44,94,495,996.0,208.0,556,3.38,10,91
Texas Rangers,1992,162,77,85,682,5537,1387,266,23,159,550,1036.0,81.0,663,4.09,19,153
Toronto Blue Jays,1992,162,96,66,780,5536,1458,265,40,163,561,933.0,129.0,626,3.91,18,93
Atlanta Braves,1993,162,104,58,767,5515,1444,239,29,169,560,946.0,125.0,508,3.14,18,108
Baltimore Orioles,1993,162,85,77,786,5508,1470,287,24,157,655,930.0,73.0,691,4.31,21,100
Boston Red Sox,1993,162,80,82,686,5496,1451,319,29,114,508,871.0,73.0,608,3.77,9,122
California Angels,1993,162,71,91,684,5391,1399,259,24,114,564,930.0,169.0,690,4.34,26,120
Chicago White Sox,1993,162,94,68,776,5483,1454,228,44,162,604,834.0,106.0,598,3.7,16,112
Chicago Cubs,1993,163,84,78,738,5627,1521,259,32,161,446,923.0,100.0,673,4.18,8,115
Cincinnati Reds,1993,162,73,89,722,5517,1457,261,28,137,485,1025.0,142.0,719,4.51,11,120
Cleveland Indians,1993,162,76,86,790,5619,1547,264,31,141,488,843.0,159.0,735,4.58,7,148
Colorado Rockies,1993,162,67,95,758,5517,1507,278,59,142,388,944.0,146.0,860,5.41,9,167
Detroit Tigers,1993,162,85,77,899,5620,1546,282,38,178,765,1122.0,104.0,742,4.65,11,132
